WeaponType,DDG51,Container,MineSweeper,OilServiceVessel,OrientExplorer,PilotVessel,SmitHouston,Tanker,TugBoat,JARIUSV,SeaHunter,Mykola,SeaBaby,CVN75,Submarine,AntiShipMissile
DDG51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Container,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MineSweeper,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OilServiceVessel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OrientExplorer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PilotVessel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SmitHouston,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tanker,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TugBoat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JARIUSV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SeaHunter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mykola,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SeaBaby,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CVN75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Submarine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AntiShipMissile,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
