entityType,acceleration,turnRate,maxSpeed,minSpeed,cruiseSpeed,mass,length,width,height,maxFuel,maxRange,entityClass,maxHealth
Rig_Balder,0.00,0.00,0,0,0,3000.0,400.0,400.0,400.0,0,0,None,2000,
DDG51,35.00,17.00,88,0,60,1000.0,155.0,20.0,50.0,786408,8100000,Destroyer,400,
Container,64.80,103.13,36,0,10,4000.0,315.0,30.0,70.0,0,0,Merchant,100,
MineSweeper,45.00,85.94,30,0,8,800.0,120.0,22.5,52.5,0,0,MineSweeper,100,
OilServiceVessel,101.25,128.92,45,0,10,200.0,62.5,20.0,20.0,0,0,Merchant,100,
OrientExplorer,22.05,60.16,21,0,6,1200.0,167.5,50.0,65.0,0,0,Merchant,100,
PilotVessel,106.72,132.35,46.2,0,12,40.0,16.0,5.0,8.0,0,0,Pilot,100,
SmitHouston,23.33,61.88,21.6,0,5,500.0,67.5,15.0,32.5,0,0,Tug,100,
Tanker,36.45,77.35,27,0,7,1500.0,275.0,47.0,65.0,0,0,Merchant,100,
TugBoat,26.68,66.18,23.1,0,5.2,50.0,33.0,12.5,20.0,0,0,Tug,100,
CVN75,180.00,171.89,60,0,9,2000.0,340.0,82.5,75.0,0,0,Carrier,100,
JARIUSV,110.00,120.00,200,0,150,250.0,15.0,5.0,7.0,0,0,USV,45,
Mykola,217.80,189.08,66,0,15,10.0,3.6,1.0,0.5,0,0,USV,100,
SeaBaby,281.25,214.86,75,0,20,10.0,7.0,2.0,1.0,0,0,USV,100,
SeaHunter,38.00,57.00,108,0,82,500.0,38.0,13.5,15.0,0,0,USV,125,
Submarine,4.00,2.00,30,0,25,100.0,100.0,20.0,20.0,0,0,Sub,0,
AntiShipMissile,500.00,1.00,1000,0,0,0.0,5.0,1.0,1.0,100,1000,Missile,100,
